"beginTime";"peakTime";"endTime";"classType";"classTypeNumber";"sourceLocation";"lat";"lon";"farestStartDate";"farestEndDate"
"2015-06-21T01:02Z";"2015-06-21T01:42Z";"2015-06-21T02:00Z";"M2.0";32;"N13E12";"+13";"+12";NA;NA
"2015-06-21T02:06Z";"2015-06-21T02:36Z";"2015-06-21T03:02Z";"M2.6";32,6;"N13E12";"+13";"+12";NA;NA
"2015-06-21T09:38Z";"2015-06-21T09:44Z";"2015-06-21T09:50Z";"M3.8";33,8;"S20W50";"-20";"-50";NA;NA
"2015-06-21T18:10Z";"2015-06-21T18:20Z";"2015-06-21T18:28Z";"M1.1";31,1;"S20W50";"-20";"-50";NA;NA
"2015-06-22T17:39Z";"2015-06-22T18:23Z";"2015-06-22T18:51Z";"M6.5";36,5;"N13W05";"+13";"-05";NA;NA
"2015-06-24T15:14Z";"2015-06-24T15:29Z";"2015-06-24T16:20Z";"C5.6";25,6;"N12W35";"+12";"-35";NA;NA
"2015-06-25T08:02Z";"2015-06-25T08:16Z";"2015-06-25T09:05Z";"M7.9";37,9;"N13W40";"+13";"-40";NA;NA
"2015-06-29T17:58Z";"2015-06-29T18:07Z";"2015-06-29T18:14Z";"C2.4";22,4;"N16E64";"+16";"+64";NA;NA
"2015-07-03T12:47Z";"2015-07-03T12:51Z";"2015-07-03T12:53Z";"M1.5";31,5;"S17E65";"-17";"+65";NA;NA
"2015-07-06T08:24Z";"2015-07-06T08:44Z";"2015-07-06T08:59Z";"M1.0";31;"N15E37";"+15";"+37";NA;NA
"2015-07-06T20:32Z";"2015-07-06T20:40Z";"2015-07-06T20:50Z";"M1.7";31,7;"N13E34";"+13";"+34";NA;NA
"2015-07-19T09:22Z";"2015-07-19T10:40Z";"2015-07-19T13:02Z";"C2.1";22,1;"S25W62";"-25";"-62";NA;NA
"2015-08-20T05:05Z";"2015-08-20T05:27Z";"2015-08-20T06:22Z";"C3.4";23,4;"S16E44";"-16";"+44";NA;NA
"2015-08-21T01:56Z";"2015-08-21T02:18Z";"2015-08-21T02:36Z";"M1.2";31,2;"S12E38";"-12";"+38";NA;NA
"2015-08-21T09:34Z";"2015-08-21T09:48Z";"2015-08-21T10:07Z";"M1.4";31,4;"S17E26";"-17";"+26";NA;NA
"2015-08-21T19:10Z";"2015-08-21T20:34Z";"2015-08-21T20:50Z";"M1.1";31,1;"S15E28";"-15";"+28";NA;NA
"2015-08-22T06:39Z";"2015-08-22T06:49Z";"2015-08-22T06:59Z";"M1.2";31,2;"S15E13";"-15";"+13";NA;NA
"2015-08-22T13:17Z";"2015-08-22T13:23Z";"2015-08-22T13:29Z";"M2.2";32,2;"S16E19";"-16";"+19";NA;NA
"2015-08-22T21:19Z";"2015-08-22T21:24Z";"2015-08-22T21:28Z";"M3.5";33,5;"S16E15";"-16";"+15";NA;NA
"2015-08-24T07:26Z";"2015-08-24T07:33Z";"2015-08-24T07:35Z";"M5.6";35,6;"S15W04";"-15";"-04";NA;NA
"2015-08-24T17:40Z";"2015-08-24T17:46Z";"2015-08-24T17:49Z";"M1.0";31;"S14W04";"-14";"-04";NA;NA
"2015-08-27T04:48Z";"2015-08-27T05:44Z";"2015-08-27T06:03Z";"M2.9";32,9;"S16W47";"-16";"-47";NA;NA
"2015-08-28T13:04Z";"2015-08-28T13:16Z";"2015-08-28T13:23Z";"M2.2";32,2;"S14W66";"-14";"-66";NA;NA
"2015-08-28T18:56Z";"2015-08-28T19:03Z";"2015-08-28T19:06Z";"M2.1";32,1;"S15W75";"-15";"-75";NA;NA
"2015-08-30T02:01Z";"2015-08-30T03:30Z";"2015-08-30T04:23Z";"M1.4";31,4;"S15W80";"-15";"-80";NA;NA
"2015-09-11T21:30Z";"2015-09-11T21:37Z";NA;"C1.3";21,3;"S10W21";"-10";"-21";NA;NA
"2015-09-20T04:55Z";"2015-09-20T05:03Z";"2015-09-20T05:17Z";"M1.5";31,5;"N09E83";"+09";"+83";NA;NA
"2015-09-20T17:32Z";"2015-09-20T18:03Z";"2015-09-20T18:29Z";"M2.1";32,1;"S22W50";"-22";"-50";NA;NA
"2015-09-27T10:20Z";"2015-09-27T10:40Z";"2015-09-27T10:46Z";"M1.9";31,9;"S10W57";"-10";"-57";NA;NA
